east north cat Gh_id Elevation
-825978.12833611 -1067139.20945651 406 L2PLZR01 320.00000000
-873594.73236162 -1070477.58299326 407 L2PRIM01 742.76000000
-873594.73236162 -1070477.58299326 408 L2PRIM02 742.76000000
-790985.0192899 -1034846.28442225 409 L2RAKO01 313.00000000
-806318.46626894 -1071653.95542284 410 L2ROKY01 397.00000000
-796117.15129219 -1046096.14576943 411 L2SLAB01 389.00000000
-795707.86526455 -1074223.07203425 412 L2STRA01 526.00000000
-850556.27683067 -1064791.92335023 413 L2STRI01 438.00000000
-875212.81328697 -1055691.30708513 414 L2TACH01 487.00000000
-796419.80736661 -1056235.81499946 415 L2TERE01 402.00000000
-873098.15473172 -1039663.61368551 416 L2TSEK01 672.00000000
-838887.43898178 -1065863.76447337 417 L2ULIC01 428.00000000
-837670.65780411 -1050867.90457187 418 L2UNES01 573.00000000
-845919.87417511 -1044570.14636242 419 L2UTER01 489.00000000
-830334.80612062 -1024218.7924099 420 L2VERU01 582.00000000
-852357.91189668 -1059893.49247684 421 L2VICH01 506.00000000
-794017.4157385 -1061970.75633268 422 L2ZBIR01 476.00000000
-831907.71160343 -1028788.29458262 423 L2ZLUT01 569.00000000
-851494.22992725 -995364.16715795 424 L3ABER01 893.00000000
-898922.54954166 -1004171.70802623 425 L3AS0001 675.00000000
-855065.0963398 -1026932.54913641 426 L3BECO01 529.00000000
