EG_GH_ID YEAR MONTH DAY TIME  D   F
C2POCA01 2024 12    31  13:40 337  ,4
C2TABO01 2024 12    31  13:00 328  ,7
C2TABO01 2024 12    31  13:10   0   0
C2TABO01 2024 12    31  13:20 352  ,1
C2TABO01 2024 12    31  13:30 158  ,3
C2TABO01 2024 12    31  13:40 151  ,3
C2TREB01 2024 12    31  13:00  23  ,1
C2TREB01 2024 12    31  13:10  98  ,3
C2TREB01 2024 12    31  13:20   0   0
C2TREB01 2024 12    31  13:30 328  ,5
C2TREB01 2024 12    31  13:40 290 1,3
C2VBRO01 2024 12    31  13:00   0   0
C2VBRO01 2024 12    31  13:10  16  ,1
C2VBRO01 2024 12    31  13:20  42  ,3
C2VBRO01 2024 12    31  13:30 100  ,8
C2VBRO01 2024 12    31  13:40  82  ,8
H1CSKL01 2024 12    31  13:00  64  ,1
H1CSKL01 2024 12    31  13:10   0   0
H1CSKL01 2024 12    31  13:20 210  ,4
H1CSKL01 2024 12    31  13:30 222  ,5
H1CSKL01 2024 12    31  13:40 159  ,4
H1LBOU01 2024 12    31  13:00 257 1,8
H1LBOU01 2024 12    31  13:10 239 1,7
H1LBOU01 2024 12    31  13:20 206 1,6
H1LBOU01 2024 12    31  13:30 182 1,2
H1LBOU01 2024 12    31  13:40 195 1,9
H1LUCB01 2024 12    31  13:00 238 8,4
H1LUCB01 2024 12    31  13:10 237 8,1
H1LUCB01 2024 12    31  13:20 238 8,3
H1LUCB01 2024 12    31  13:30 238 8,4
H1LUCB01 2024 12    31  13:40 241 7,4
H1PECS01 2024 12    31  13:00  13  ,7
H1PECS01 2024 12    31  13:10 359  ,6
H1PECS01 2024 12    31  13:20 233  ,7
H1PECS01 2024 12    31  13:30  49  ,6
H1PECS01 2024 12    31  13:40   2  ,5
H1TEPZ01 2024 12    31  13:00 139 1,5
H1TEPZ01 2024 12    31  13:10 193   1
H1TEPZ01 2024 12    31  13:20 193 1,2
H1TEPZ01 2024 12    31  13:30 232 2,1
H1TEPZ01 2024 12    31  13:40 229 3,1
H1UPIC01 2024 12    31  13:00 158  ,5
H1UPIC01 2024 12    31  13:10 138  ,8
H1UPIC01 2024 12    31  13:20 153  ,5
H1UPIC01 2024 12    31  13:30 169  ,7
H1UPIC01 2024 12    31  13:40 162  ,5
H1VELI01 2024 12    31  13:00  77  ,4
H1VELI01 2024 12    31  13:10 101  ,5
H1VELI01 2024 12    31  13:20  60  ,1
H1VELI01 2024 12    31  13:30   0   0
H1VELI01 2024 12    31  13:40  54  ,3
H1VRCH01 2024 12    31  13:00  23  ,2
H1VRCH01 2024 12    31  13:10 304  ,5
H1VRCH01 2024 12    31  13:20   5  ,9
H1VRCH01 2024 12    31  13:30 356  ,8
H1ZACL01 2024 12    31  13:00 161 2,8
H1ZACL01 2024 12    31  13:10 157 2,7
H1ZACL01 2024 12    31  13:20 158 2,5
H1ZACL01 2024 12    31  13:30 151 2,5
H1ZACL01 2024 12    31  13:40 153 2,3
H2BORH01 2024 12    31  13:00 297  ,8
